Phenotype,Ancestry,PMID,#Variants,#Variants (post LD expansion),GWAS catalog?
Osteoarthritis,EU,"18471798,20112360,21068099,21871595,22566624,22763110,23989986,24728293,",6,388,yes
Ovarian_cancer,EU,"19648919,20852632,20852633,21964575,23535730,",10,620,yes
Pancreatic_cancer,AS,"20686608,22158540,",6,117,yes
Parkinson_disease,EU,"16252231,17052657,19915575,20070850,20711177,21044948,21084426,21292315,21738487,22451204,24511991,",16,3417,yes
Phospholipid_levels_plasma,EU,"21829377,22359512,",25,483,yes
Platelet_counts,AS,"20139978,",6,64,yes
Platelet_counts,EU,"22139419,23263863,24026423,",54,54,yes
Polycystic_ovary_syndrome,AS,"21151128,22885925,",10,150,yes
PR_interval,AA,"21347284,23139255,23534349,",6,48,yes
PR_interval,EU,"20062060,",8,176,yes
PR_segment,EU,"24850809,",8,385,yes
Primary_biliary_cirrhosis,AS,"23000144,",5,180,yes
Primary_biliary_cirrhosis,EU,"19458352,20639880,21399635,",21,610,yes
Primary_tooth_development_number_of_teeth,EU,"20195514,23704328,",12,332,yes
Primary_tooth_development_time_to_first_tooth_eruption,EU,"20195514,23704328,",10,160,yes
Prostate_cancer,AS,"20676098,22923026,23023329,",10,338,yes
Prostate_cancer,EU,"17401363,17401366,17603485,18264096,18264097,18264098,19117981,19767753,19767754,21743057,21743467,23065704,23535732,24753544,",52,1654,yes
Pubertal_anthropometrics,EU,"23449627,",5,553,yes
Pulmonary_function,EU,"19300500,20010834,20010835,21946350,",24,1133,yes
Pulmonary_function_interaction,EU,"23284291,",20,1055,yes
QRS_duration,EU,"21076409,",9,109,yes
QT_interval,EU,"16648850,19305408,19305409,19587794,20031603,",12,257,yes
Red_blood_cell_traits,AA,"23446634,23696099,",5,98,yes
Red_blood_cell_traits,EU,"20927387,23222517,",45,1141,yes
Refractive_error,EU,"20835236,20835239,23396134,23474815,",23,851,yes
Renal_cell_carcinoma,EU,"21131975,22010048,23184150,24220699,",5,99,yes
Renal_function-related_traits_BUN,AS,"22797727,",13,338,yes
Renal_function-related_traits_eGRFcrea,AS,"22797727,",7,82,yes
Renal_function-related_traits_sCR,AS,"22797727,",8,96,yes
Response_to_antipsychotic_treatment,EU,"19680635,19721433,20195266,23241943,",5,163,yes
Response_to_anti-retroviral_therapy_ddI_d4T_in_HIV-1_infection_grade_3_peripheral_neuropathy,EU,"24554482,",7,123,yes
Resting_heart_rate,EU,"20639392,",6,176,yes
Rheumatoid_arthritis,EU,"23143596,24316577,",84,1692,yes
Rheumatoid_arthritis,AS,"20453841,21452313,21505073,21844665,22446963,23028356,24782177,",18,440,no
Schizophrenia,AS,"21679298,22037552,22037555,24043878,",5,296,yes
Schizophrenia,EU,"17522711,18332876,18347602,18677311,19571808,19571809,19571811,20185149,21926974,22688191,22883433,22885689,23142968,23212062,23358160,23894747,23974872,",28,1547,yes
Schizophrenia_or_bipolar_disorder,EU,"24280982,",6,334,yes
Self-reported_allergy,EU,"23817569,",16,529,yes
Serum_albumin_level,EU,"23022100,",6,123,yes
Serum_metabolite_levels,AA,"24625756,",13,185,yes
Sex_hormone-binding_globulin_levels,EU,"22675492,22829776,",11,777,yes
Smoking_behavior,EU,"19247474,20418888,20418889,20418890,",6,142,yes
Sphingolipid_levels,EU,"19798445,22359512,",10,94,yes
Stroke_ischemic,EU,"18991354,22941190,23041239,",5,77,yes
Systemic_lupus_erythematosus,AS,"22753952,26502338,",52,1124,no
Systemic_lupus_erythematosus,EU,"22753952,",53,1359,no
Systemic_lupus_erythematosus,EU+AA+AS+HA,"22753952,26606652,26502338,26808113,",83,2760,no
Systemic_sclerosis,EU,"24387989, 24316577,",20,467,no
Takayasu_arteritis,EU,"26492816,",19,413,no
Tanning,EU,"19340012,23548203,",6,201,yes
Telomere_length,EU,"19359265,20139977,20421499,21573004,23001564,23535734,23900074,24478790,",6,377,yes
Testicular_germ_cell_tumor,EU,"23666239,23666240,",18,707,yes
Thyroid_hormone_levels,EU,"23408906,",25,806,yes
Triglycerides,AS,"20139978,21909109,22171074,",6,339,yes
Triglycerides,EU,"17463246,18193043,18193046,19060906,19060911,20686565,20864672,24097068,",44,1650,yes
Tumor_biomarkers,AS,"23300138,",7,242,yes
Type_1_diabetes,EU,"25751624,24316577,",57,1651,no
Type_2_diabetes,AS,"18711366,18711367,19401414,20174558,20818381,20862305,21490949,21799836,21874001,22158537,22456796,22961080,23532257,23945395,",34,1279,yes
Type_2_diabetes,EU,"17293876,17460697,17463246,17463248,17463249,17554300,17668382,18372903,19056611,20418489,20581827,22101970,22293688,24509480,",45,1857,yes
Ulcerative_colitis,AS,"19915573,23511034,",5,555,yes
Ulcerative_colitis,EU,"18836448,19122664,19915572,20228798,20228799,20848476,21297633,23128233,",59,2263,yes
Urate_levels,EU,"18179892,18327256,18327257,18834626,20884846,23263486,",30,891,yes
Uric_acid_levels,EU,"19503597,22229870,23703922,",8,347,yes
Urinary_metabolites_H-NMR_features,EU,"24586186,",10,436,yes
Vitamin_B12_levels,AS,"22367966,",5,174,yes
Vitiligo,AS,"20526339,22951725,",6,259,yes
Vitiligo,EU,"19890347,20410501,21326295,22561518,",22,929,yes
Waist-hip_ratio,EU,"20935629,23563607,",7,376,yes
Wilms_tumor,EU,"22544364,",5,143,yes
